[INIT] Loaded 19 registry anchors for exclusion.
[SCAN] Processing 139 chapter files.

================================================================================
CANDIDATE PROPER NOUNS (>= 3 chapters | registry excluded)
================================================================================
Song                      |   6 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
Stoneheart                |   6 files | e.g., book_11_blood_and_legacy_060_echoes_of_the_cradle.md
Tessik                    |   6 files | e.g., book_22_listening_stone_south_115_the_shape_of_asking.txt
Together                  |   6 files | e.g., book_04_sage_saga_020_the_collapse.md
Torren                    |   6 files | e.g., book_07_light_resonance_and_the_function_037_the_circle_of_progress.md
Vine                      |   6 files | e.g., book_20_the_discordant_pulse_south_104_the_rising_tide.md
Wars                      |   6 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
Watch                     |   6 files | e.g., book_07_light_resonance_and_the_function_038_luminaire_keeper.md
Weaver                    |   6 files | e.g., book_09_bureaucratic_debt_051_arrival_in_fire.md
Where                     |   6 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
World                     |   6 files | e.g., book_06_the_ragnarok_035_sands_of_time.md
Yeah                      |   6 files | e.g., book_22_listening_stone_south_114_resonance_of_stone.txt
Zaryonic                  |   6 files | e.g., book_06_the_ragnarok_034_the_250.md
ANCHOR                    |   5 files | e.g., book_07_light_resonance_and_the_function_038_luminaire_keeper.md
APPROACH                  |   5 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
Aetheric                  |   5 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
Aftermath                 |   5 files | e.g., book_06_the_ragnarok_030_ummade_army.md
Anu                       |   5 files | e.g., book_05_the_nameless_one_028_ragnarok.md
Assyrian                  |   5 files | e.g., book_10_infernal_vigil_059_eyes_of_eternity.md
Begins                    |   5 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Between                   |   5 files | e.g., book_14_lessons_of_inheritance_072_flow_between_moments.md
Bones                     |   5 files | e.g., book_18_inquisition_of_yourself_095_roots_of_change.md
Breach                    |   5 files | e.g., book_07_light_resonance_and_the_function_038_luminaire_keeper.md
Break                     |   5 files | e.g., book_17_ancestral_debt_091_the_weight_of_memory.md
Chains                    |   5 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
